KIC, group, n_modes, numax, numax_err, delta_nu, Teff, Teff_err, Fe_H, alpha_Fe, eccentricity, mass_16, mass, mass_84, radius_16, radius, radius_84, age_16, age, age_84
10857579 , C , 5 ,  31.41 ,   0.53 ,  3.812 ,   4659 ,  85 , -0.66 ,  0.21 , 0.592 ,  0.95 ,  1.00 ,  1.02 , 10.15 , 10.33 , 10.39 ,  7.32 ,  7.82 ,  9.57     
11014721 , C , 7 ,  56.03 ,   0.95 ,  6.066 ,   4782 ,  84 , -0.57 ,  0.12 , 0.333 ,  0.92 ,  0.93 ,  0.95 ,  7.39 ,  7.42 ,  7.48 ,  9.39 , 10.38 , 10.91     
11037292 , C , 5 ,  16.90 ,   0.29 ,  2.405 ,   4485 ,  63 , -0.62 ,  0.27 , 0.617 ,  0.93 ,  0.95 ,  0.96 , 13.67 , 13.78 , 13.87 ,  9.44 , 10.16 , 11.07     
11044668 , C , 7 ,  50.05 ,   0.85 ,  5.671 ,   4815 ,  79 , -0.86 ,  0.27 , 0.378 ,  0.83 ,  0.84 ,  0.87 ,  7.54 ,  7.58 ,  7.65 , 11.71 , 12.99 , 13.75     
11046830 , C , 7 ,  56.69 ,   0.96 ,  6.161 ,   4745 ,  86 , -0.78 ,  0.19 , 0.441 ,  0.91 ,  0.93 ,  0.96 ,  7.38 ,  7.42 ,  7.51 ,  8.26 ,  9.38 , 10.02     
11181828 , B , 7 ,  33.44 ,   0.57 ,  4.098 ,   4790 ,  83 , -0.92 ,  0.21 , 0.247 ,  0.93 ,  0.97 ,  1.00 ,  9.69 ,  9.84 ,  9.95 ,  6.69 ,  7.60 ,  8.81     
11200680 , C , 6 ,  38.86 ,   0.66 ,  4.545 ,   4763 ,  76 , -0.72 ,  0.30 , 0.275 ,  0.92 ,  0.94 ,  0.96 ,  8.97 ,  9.04 ,  9.10 ,  8.96 ,  9.75 , 10.62     
11230715 , C , 7 , 185.18 ,   3.15 , 15.303 ,   4958 , 100 , -0.56 ,  0.24 , 0.475 ,  0.90 ,  0.93 ,  0.97 ,  4.01 ,  4.06 ,  4.12 ,  9.15 , 10.76 , 12.22     
11289675 , C , 5 ,  26.00 ,   0.44 ,  3.422 ,   4676 ,  80 , -0.68 ,  0.26 , 0.045 ,  0.90 ,  0.91 ,  0.94 , 10.81 , 10.84 , 10.97 ,  9.46 , 11.02 , 11.09     
11296084 , C , 4 ,  16.59 ,   0.28 ,  2.351 ,   4465 ,  62 , -0.55 ,  0.23 , 0.059 ,  0.92 ,  0.95 ,  0.97 , 13.94 , 14.11 , 14.23 ,  9.39 , 10.39 , 11.67     
11445495 , C , 5 , 204.83 ,   3.48 , 16.938 ,   4973 ,  85 , -0.81 ,  0.29 , 0.665 ,  0.82 ,  0.84 ,  0.91 ,  3.66 ,  3.70 ,  3.79 , 10.31 , 13.42 , 14.79     
11498043 , C , 6 ,  32.87 ,   0.56 ,  4.042 ,   4740 ,  80 , -0.79 ,  0.29 , 0.027 ,  0.82 ,  0.85 ,  0.91 ,  9.22 ,  9.32 ,  9.56 , 10.48 , 13.37 , 15.07     
